playground_size,mpi_task,threads,runtime,mean_time
5000,3,5,2.498948,0.049979
5000,3,5,2.491883,0.049838
5000,3,5,2.490915,0.049818
5000,3,6,2.090276,0.041806
5000,3,6,2.102404,0.042048
5000,3,6,2.598273,0.051965
5000,3,6,2.108319,0.042166
5000,3,6,2.095612,0.041912
5000,3,7,1.819529,0.036391
5000,3,7,1.821087,0.036422
5000,3,7,1.838069,0.036761
5000,3,7,1.812188,0.036244
5000,3,7,1.821486,0.036430
5000,3,8,1.606729,0.032135
5000,3,8,1.609730,0.032195
5000,3,8,1.603516,0.032070
5000,3,8,1.615714,0.032314
5000,3,8,1.599685,0.031994
5000,3,9,1.443452,0.028869
5000,3,9,1.440062,0.028801
5000,3,9,1.444890,0.028898
5000,3,9,1.438565,0.028771
5000,3,9,1.442835,0.028857
5000,3,10,1.312598,0.026252
5000,3,10,1.314870,0.026297
5000,3,10,1.313288,0.026266
5000,3,10,1.314422,0.026288
5000,3,10,1.322893,0.026458
5000,3,11,1.204656,0.024093
5000,3,11,1.201228,0.024025
5000,3,11,1.205034,0.024101
5000,3,11,1.212492,0.024250
5000,3,11,1.206575,0.024132
5000,3,12,1.108519,0.022170
5000,3,12,1.107857,0.022157
5000,3,12,1.111349,0.022227
5000,3,12,1.800440,0.036009
5000,3,12,1.116264,0.022325
5000,4,1,8.967595,0.179352
5000,4,1,8.960694,0.179214
5000,4,1,8.973282,0.179466
5000,4,1,8.968535,0.179371
5000,4,1,8.966817,0.179336
5000,4,2,4.568931,0.091379
5000,4,2,5.365318,0.107306
5000,4,2,4.563411,0.091268
5000,4,2,4.565480,0.091310
5000,4,2,4.566070,0.091321
5000,4,3,3.084200,0.061684
5000,4,3,3.091700,0.061834
5000,4,3,3.116311,0.062326
5000,4,3,3.088736,0.061775
5000,4,3,3.081274,0.061625
5000,4,4,2.350497,0.047010
5000,4,4,2.355819,0.047116
5000,4,4,2.350916,0.047018
5000,4,4,2.354744,0.047095
5000,4,4,2.347822,0.046956
5000,4,5,1.908810,0.038176
5000,4,5,1.911471,0.038229
5000,4,5,1.913451,0.038269
5000,4,5,1.906439,0.038129
5000,4,5,2.529589,0.050592
5000,4,6,1.617078,0.032342
5000,4,6,1.604309,0.032086
5000,4,6,1.620988,0.032420
5000,4,6,1.618347,0.032367
